X,Y,OBJECTID_1,OBJECTID,IL,ILCE,KOY,KAYNAK_ADI,FORMASYON,KOT_m,ORTALAMA_D,MAX_AKIM_l,MIN_AKIM_l,YILLIK_BOS,DRENAJ_ALA,EC_MMHOS_c,ISI_c,X_KOORDINA,Y_KOORDINA,PAFTA,RESIM,ACIKLAMA,ZONE_,Akim_olcum,Akim_olc_1,Akim_olc_2,Akim_olc_3,Akim_olc_4,Akim_olc_5,Akim_olc_6,icon_url
28.3446125007346,39.1091844113548,"51",0.00000000000,,,,Kobaklar Koyu Kaynagi,,1032.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,616304.00000000000,4329933.00000000000,,,"Karstik Birimlerden cikan icmede kullanilan kaynak, yakinda volkanik birimler vardir.",0.00000000000,,,,,,,,./0.png
28.0600969020313,39.0720480213917,"52",0.00000000000,,,,Kocakagan Koyu cesme,,561.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,591752.00000000000,4325486.00000000000,,,,0.00000000000,,,,,,,,./0.png
28.0615721568057,39.0262141909666,"53",0.00000000000,,,,Komurcu ISK,,536.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,591939.00000000000,4320401.00000000000,,,Konglomera,0.00000000000,,,,,,,,./0.png
29.3818047372304,38.857062321635,"54",0.00000000000,,,,Koy Cesmesi Guney Koyu (Usak,,1092.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,706721.00000000000,4303790.00000000000,,,Usak- Guney Koyu Cesmenin suyu Sulemis Kaynaklarindan geliyor. Guney koyu icmesuy 8 km uzakliktaki Kavacik Kaynagindan geliyor.,0.00000000000,,,,,,,,./0.png
27.3134519334324,38.7279650880438,"55",0.00000000000,MANİSA,MERKEZ,BOSTANLAR,MSK- 15,,140.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,527294.00000000000,4286815.00000000000,,,Bostanlar Muhtari Pinar Kaynak suyu.,0.00000000000,,,,,,,,./0.png
28.5505704443448,38.3000676232789,"56",0.00000000000,,,,Narlidere'nin su aldigi kayn,,427.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,635632.00000000000,4240425.00000000000,,,Bahadir Koyu ISK ya cikarken solda kaynak suyu,0.00000000000,,,,,,,,./0.png
27.4349654570616,38.387763707257,"57",0.00000000000,,,,Nazarkoy (Kurudere),,257.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,538035.00000000000,4249108.00000000000,,,Karstik kirectasi,0.00000000000,,,,,,,,./0.png
28.5417037571603,38.9392825768601,"58",0.00000000000,,,,Pinar,,654.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,633665.00000000000,4311348.00000000000,,,"Yol kenarinda, Andezit Dokanagi",0.00000000000,,,,,,,,./0.png
28.7356226764865,38.7646996632001,"59",0.00000000000,,,,Pinar (Cesme) Camlica Koyu,,644.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,650841.00000000000,4292275.00000000000,,,"Camlica Koyu. Neojen kirectasi, kiltasi dokanagindan cikiyor.",0.00000000000,,,,,,,,./0.png
28.556355066674,39.1046031659724,"60",0.00000000000,,,,Pinar (MSK337),,1321.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,634621.00000000000,4329717.00000000000,,,Metamorfik birimlerden akan pinar,0.00000000000,,,,,,,,./0.png
