X,Y,OBJECTID,Nokta,Aciklama,AGÄ°_NO,IstasyonAd,X,Y,Kot,PaftaNo,YagisAlani,Birim,OrtAkim_10,OrtAkim_11,OrtAkim_12,OrtAkim_1,OrtAkim_2,OrtAkim_3,OrtAkim_4,OrtAkim_5,OrtAkim_6,OrtAkim_7,OrtAkim_8,OrtAkim_9,YilOrtAkim,TopAkim_10,TopAkim_11,TopAkim_12,TopAkim_1,TopAkim_2,TopAkim_3,TopAkim_4,TopAkim_5,TopAkim_6,TopAkim_7,TopAkim_8,TopAkim_9,YilTopAkim,icon_url
27.768662736963,38.8892365002016,"1",POI072,,E05-009,MEDAR Ã‡AYI - KAYALIOÄLU,566712.19499999995,4304945.12899999972,77.86432939180,K19B1,901.60000000000,"AylÄ±k ort. akÄ±mlar m3/sn; aylÄ±k toplam akÄ±mlar hm3",0.32923387097,0.66099880952,3.03938824885,4.65406451613,7.95576275510,5.44694470046,3.81080595238,1.65573502304,0.57843095238,0.19003110599,0.07977880184,0.12135714286,2.37687765663,0.88237451429,1.71309891429,8.14024348571,12.46712902860,19.32731628570,14.58890388570,9.87363245714,4.43157594286,1.49983417143,0.50863971429,0.21379142857,0.31428571429,73.95621840000,./0.png
28.6992239970504,38.6979146798149,"2",POI013,,E05-014,SELENDÄ° Ã‡AYI - DEREKÃ–Y,647816.00000000000,4284804.00000000000,345.00000000000,K21D2,689.60000000000,"AylÄ±k ort. akÄ±mlar m3/sn; aylÄ±k toplam akÄ±mlar hm3",0.23792880979,0.89011379310,2.50460622914,3.66282758621,5.44765517241,4.13410456062,2.84155747126,1.28718131257,0.40661839081,0.12381423804,0.09432480534,0.07448275862,1.80876792733,0.63701296552,2.30638929655,6.70929782069,9.81108827586,13.27744270340,11.06539106210,7.36682372414,3.44848943448,1.05327100690,0.33162548965,0.25289059310,0.19289655172,56.46337754480,./0.png
28.581636052037,38.7333259326596,"3",POI014,DeliniÅŸ Ã‡ayÄ± Ã‡aykÃ¶y yerine DELÄ°NÄ°Å DERESÄ° - TOPUZDAMLARI kullanÄ±lmÄ±ÅŸ,515/E05-015,DELÄ°NÄ°Å DERESÄ° - TOPUZDAMLARI,637521.83499999996,4288550.67999999970,409.01604626700,K21D1,734.80000000000,"AylÄ±k ort. akÄ±mlar m3/sn; aylÄ±k toplam akÄ±mlar hm3",0.26256942497,0.66515942029,3.76439971950,5.52778962132,7.24331211180,5.96956521739,4.21725507246,1.88230154278,0.41471014493,0.18320897616,0.20279382889,0.12543478261,2.53820832192,0.70346977391,1.72467165217,10.08454956520,14.82054956520,17.61316932170,15.99145196520,10.92861419130,5.04072034783,1.07433182609,0.49080438261,0.54287638261,0.32501565217,79.43400723480,./0.png
28.4792402276237,38.7520185407811,"4",POI015,Demirci Ã‡ayÄ± Borlu RegÃ¼latÃ¶rÃ¼ yerine DEMÄ°RCÄ° Ã‡AYI - BORLU KÃ–PRÃœSÃœ kullanÄ±lmÄ±ÅŸ,E05-022,DEMÄ°RCÄ° Ã‡AYI - BORLU KÃ–PRÃœSÃœ,628587.73100000003,4290476.29800000042,245.68686529400,K20B3,818.80000000000,"AylÄ±k ort. akÄ±mlar m3/sn; aylÄ±k toplam akÄ±mlar hm3",0.16012096774,0.68850238095,3.62904838710,4.82645046083,8.05062500000,5.84108294931,3.89338333333,1.54469470046,0.47444642857,0.09470622120,0.04627880184,0.08503571429,2.44453127880,0.42913040000,1.78346131429,9.71404914286,12.93357480000,19.57852771430,15.64196582860,10.09015588570,4.14049102857,1.23098971429,0.25336108571,0.12364411429,0.22042114286,76.11023645710,./0.png
29.4146806337475,38.9680359374023,"5",POI001,MuratÃ§ayÄ± DÃ¶rtdeÄŸirmen yerine SazkÃ¶y verileri ve alanÄ± kullanÄ±lmÄ±ÅŸ,"524",MURAT Ã‡AYI - SAZKÃ–Y,709247.79599999997,4316182.05900000036,702.45437955400,K23,176.00000000000,"AylÄ±k ort. akÄ±mlar m3/sn; aylÄ±k toplam akÄ±mlar hm3",0.63241036440,0.89815947531,1.36647843489,1.31716197730,1.71633541952,2.14692419355,3.75562129630,3.52896487455,1.54317408951,0.72907965950,0.45176209677,0.47747788580,1.54696248062,1.69384792000,2.32802936000,3.65997584000,3.52788664000,4.18732244000,5.75032176000,9.73457040000,9.45197952000,3.99990724000,1.95276696000,1.20999960000,1.23762268000,48.73423036000,./0.png
27.6119628988707,38.4116229466619,"6",POI045,,"525",YÄ°ÄÄ°TLER DERESÄ° - YÄ°ÄÄ°TLER,553475.41500000004,4251843.16999999993,155.59778919900,L19A1,64.00000000000,"AylÄ±k ort. akÄ±mlar m3/sn; aylÄ±k toplam akÄ±mlar hm3",0.13781912442,0.32316071429,0.79994585253,1.11484907834,1.70246811224,1.28905184332,0.87944404762,0.33645967742,0.12365714286,0.04304262673,0.02006912442,0.03729285714,0.56727168345,0.36921268571,0.83780771429,2.13971297143,2.98479880000,4.14126228571,3.45263382857,2.28158497143,0.90092022857,0.32048845714,0.11530085714,0.05395851429,0.09656680000,17.69789097140,./0.png
28.0500909184006,38.5907211733054,"7",POI033,,05-007,MARMARA GÃ–LÃœ - REGÃœLATÃ–R Ã‡IKIÅI,591500.31900000002,4272061.83100000024,72.54792838030,K20A4,255.70000000000,"AylÄ±k ort. akÄ±mlar m3/sn; aylÄ±k toplam akÄ±mlar hm3",4.53465384615,0.91659615385,0.69273449131,1.22105459057,2.80067307692,1.46584615385,1.92085384615,2.57284243176,7.44919230769,21.12875186100,23.68144540940,13.63819230770,6.83523637304,12.14809243080,2.37591261538,1.85565495385,3.27371175385,6.80121107692,3.92867938462,4.98446947692,6.88457464615,19.30020061540,56.56670990770,63.42338738460,35.32651384620,216.90915655400,./0.png
27.8277777810539,38.9527777840509,"8",,,05-015,MEDAR Ã‡AYI - MEDAR KÃ–PRÃœSÃœ,571775.17562899995,4312041.33043000009,106.00000000000,K19B1,512.30000000000,"AylÄ±k ort. akÄ±mlar m3/sn; aylÄ±k toplam akÄ±mlar hm3",0.04730969449,0.22528108466,2.77677771377,4.71586181516,4.36705656880,4.31520950674,3.51354442240,1.30448348694,0.27718529541,0.04122930534,0.02162805086,0.04338899912,1.80407966197,0.12671428571,0.58392857143,7.43732142857,12.63096428570,10.65842857140,11.55785714290,9.10710714286,3.49392857143,0.71846428571,0.11042857143,0.05792857143,0.11246428571,56.61857142860,./0.png
27.2986705160185,38.4925590826668,"9",POI047,,05-018,NÄ°F Ã‡AYI - Ã‡Ä°Ã‡EKLÄ°,526094.12500000000,4260688.93300000019,277.47479761400,L18C4,39.50000000000,"AylÄ±k ort. akÄ±mlar m3/sn; aylÄ±k toplam akÄ±mlar hm3",0.01984745930,0.13239017773,0.43915270546,0.65351510358,0.74633333333,0.50255636108,0.24660529669,0.08091467299,0.02166742459,0.00199212417,0.00076241789,0.00184455941,0.23729846969,0.05164577969,0.33320265377,1.14218096920,1.69984595011,1.76280571429,1.30836558718,0.62122619886,0.21040567173,0.05461371157,0.00515987911,0.00198270506,0.00465861822,7.20028391497,./0.png
28.0503805414561,38.4644324590949,"10",POI035,,05-021,TABAK DERESÄ° - Ã‡ALTILI,591685.59199999995,4258048.22900000028,145.92898454600,L20A1,81.10000000000,"AylÄ±k ort. akÄ±mlar m3/sn; aylÄ±k toplam akÄ±mlar hm3",0.21191039426,0.37515000000,1.45112813620,2.11666935484,2.49702678571,2.40781362007,1.73345185185,0.87316935484,0.40174722222,0.21712007168,0.15895788530,0.16623055556,1.05086460271,0.56788106667,0.97269613333,3.88313111111,5.66730715556,6.07872057778,6.44857702222,4.49487897778,2.33887057778,1.04166280000,0.58148146667,0.42597920000,0.43095315556,32.93461146670,./0.png
