X,Y,NoktaNo,AltHavza_N,İl,İlçe,Köy_Mahall,X,Y,Z,Ort_YAS_Ko,Aralık__m_,Conf____,Type,icon_url
27.5370697982063,38.5792649070097,Lim-24,6.000000,Manisa,Merkez,Manisa Belediyesi Su Ilıca Tesisleri Yukarıçobanisa,546828.260000,4270404.548000,33.766353,23.842724,2.000000,95.000000,obs. pts,./0.png
27.6102298589358,38.6383279544321,Lim-23,3.000000,Manisa,Saruhanlı,Koldere,553157.221000,4276998.316000,38.298835,25.195678,0.413392,95.000000,obs. pts,./0.png
27.7383878092603,38.4655421032467,Lim-22,6.000000,Manisa,Turgutlu,Osmancık,564465.172000,4257907.035000,297.810181,239.478724,2.000000,95.000000,obs. pts,./0.png
27.8244314069449,38.5044810641628,Lim-21,3.000000,Manisa,Turgutlu,Yeniköy,571933.082000,4262291.572000,82.887165,64.819376,2.000000,95.000000,obs. pts,./0.png
27.8916625665269,38.5133131909029,Lim-20,3.000000,Manisa,Ahmetli,Gökkaya,577785.826000,4263326.296000,110.179826,73.920921,2.000000,95.000000,obs. pts,./0.png
27.0211173200742,38.6130844221489,Lim-2,7.000000,İzmir,Menemen,Merkez,501886.318000,4274020.784000,6.110662,-10.339939,2.000000,95.000000,obs. pts,./0.png
27.8421475542619,38.8597825518533,Lim-19,5.000000,Manisa,Akhisar,Moralılar,573115.617000,4301732.815000,75.632720,39.494390,2.000000,95.000000,obs. pts,./0.png
27.5898141994326,38.6037454562267,Lim-18,3.000000,Manisa,Merkez,Hacıhaliller,551405.053000,4273149.217000,36.438351,33.216460,2.000000,95.000000,obs. pts,./0.png
27.786639760133,38.5613615386573,Lim-17,3.000000,Manisa,Turgutlu,Musulcalı,568583.849000,4268574.487000,98.516283,66.095349,2.000000,95.000000,obs. pts,./0.png
27.6440574505366,38.4433793444855,Lim-16,6.000000,İzmir,Kemalpaşa,Sinancılar,556252.846000,4255386.025000,138.219392,102.847668,2.000000,95.000000,obs. pts,./0.png
27.6396060537069,38.4252020957666,Lim-15,6.000000,İzmir,Kemalpaşa,Bağyurdu,555878.379000,4253366.323000,155.158886,109.797418,2.000000,95.000000,obs. pts,./0.png
27.6105389653553,38.4215281665125,Lim-14,6.000000,İzmir,Kemalpaşa,Yiğitler,553343.819000,4252941.451000,151.880291,112.592446,2.000000,95.000000,obs. pts,./0.png
27.5460852658614,38.4396080083976,Lim-11,6.000000,İzmir,Kemalpaşa,Armutlu,547705.510000,4254912.336000,111.281023,100.583960,2.000000,95.000000,obs. pts,./0.png
27.7699600098033,38.9147152293252,Lim-10,5.000000,Manisa,Akhisar,Bekirler,566800.843000,4307773.506000,126.664039,114.583567,1.023510,95.000000,obs. pts,./0.png
26.8613258573739,38.6800813532124,Lim-1,7.000000,İzmir,Foça,Bağarası,487985.792000,4281464.018000,25.796061,-3.155925,2.000000,95.000000,obs. pts,./0.png
28.3930729241718,38.4454928368463,973-S,2.000000,MANİSA,ALAŞEHİR,KEMALİYE,621615.888000,4256343.151000,122.342261,115.282261,0.520000,95.000000,obs. pts,./0.png
28.4172686288977,38.4422002429633,966-2-S,2.000000,MANİSA,ALAŞEHİR,KEMALİYE,623733.072000,4256009.981000,125.908020,113.833020,1.885000,95.000000,obs. pts,./0.png
28.4161119339412,38.4387539756903,966-1-K-S,2.000000,MANİSA,ALAŞEHİR,KEMALİYE,623638.000000,4255626.000000,127.000000,115.850000,2.000000,95.000000,obs. pts,./0.png
27.642351444808,38.4457778959784,898-2,6.000000,İZMİR,KEMALPAŞA,HALİLBEYLİ,556102.111000,4255651.136000,135.384311,100.244311,0.290000,95.000000,obs. pts,./0.png
27.6431208938648,38.4538562258223,898-1,6.000000,İZMİR,KEMALPAŞA,HALİLBEYLİ,556163.000000,4256548.000000,132.019531,104.459531,2.000000,95.000000,obs. pts,./0.png
27.5179200770113,38.4149374798605,895-2,6.000000,İZMİR,KEMALPAŞA,AŞAĞIKIZILCA,545262.855000,4252160.655000,140.779058,119.819058,2.260000,95.000000,obs. pts,./0.png
27.5167936944264,38.4125573509122,895-1,6.000000,İZMİR,KEMALPAŞA,AŞAĞIKIZILCA,545166.000000,4251896.000000,139.644882,117.844882,2.000000,95.000000,obs. pts,./0.png
28.2871303449064,38.5756207983699,85-S,3.000000,MANİSA,SALİHLİ,DOMBAYLI,612168.293000,4270648.824000,159.043620,109.208620,3.165000,95.000000,obs. pts,./0.png
27.6367498273445,38.4315131615593,855-S-2,6.000000,İZMİR,KEMALPAŞA,BAĞYURDU,555624.222000,4254064.889000,139.496119,97.621119,1.265000,95.000000,obs. pts,./0.png
27.6329703497489,38.4293356990117,855-S-1,6.000000,İZMİR,KEMALPAŞA,BAĞYURDU,555296.000000,4253821.000000,147.000000,131.600000,2.000000,95.000000,obs. pts,./0.png
27.8066436778283,38.815005106943,832-1,5.000000,MANİSA,AKHİSAR,BEYOBA,570079.000000,4296736.000000,72.751472,48.101472,2.000000,95.000000,obs. pts,./0.png
27.79212051561,38.7925350319927,831-2,5.000000,MANİSA,AKHİSAR,SAZOBA,568839.715000,4294231.459000,75.839033,35.549033,3.150000,95.000000,obs. pts,./0.png
27.8427046453388,38.8660956870558,826-2,5.000000,MANİSA,AKHİSAR,MORALILAR,573157.487000,4302433.841000,77.972733,36.517733,3.275000,95.000000,obs. pts,./0.png
27.8500849682165,38.8672515746571,826-1,5.000000,MANİSA,AKHİSAR,MORALILAR,573796.590000,4302568.048000,79.277308,37.797308,2.000000,95.000000,obs. pts,./0.png
28.5341347547309,38.5354743443187,79-1,1.000000,MANİSA,KULA,ESENYAZI,633760.004000,4266524.083000,794.731623,775.456623,0.825000,95.000000,obs. pts,./0.png
28.6237114848307,38.7433627387717,70-1,1.000000,MANİSA,DEMİRCİ,İCİKLER,641159.438000,4289728.560000,429.495355,424.710355,0.015000,95.000000,obs. pts,./0.png
28.8961139920609,38.6139435542813,57-S,1.000000,UŞAK,MERKEZ,ALANYURT,665132.000000,4275821.000000,434.486000,425.836000,0.040000,95.000000,obs. pts,./0.png
29.033033368968,38.7215259634807,53-S,1.000000,UŞAK,MERKEZ,MOLLAMUSA-KURUGEDİK,676789.077000,4288015.817000,738.290833,724.930833,0.250000,95.000000,obs. pts,./0.png
27.5668375162439,38.8054212683142,508-S,5.000000,MANİSA,SARUHANLI,ÇAKMAKLI,549265.923000,4295516.061000,158.859226,112.279226,2.850000,95.000000,obs. pts,./0.png
27.9388095880076,39.0372686646974,470-S,5.000000,MANİSA,AKHİSAR,MUSACA,581299.625000,4321510.953000,220.094587,210.214587,4.880000,95.000000,obs. pts,./0.png
27.9078779038324,38.6160465121333,446-2,4.000000,MANİSA,GÖLMARMARA,BÜYÜKBELEN,579086.937000,4274740.100000,115.487514,99.287514,2.020000,95.000000,obs. pts,./0.png
27.9161062675166,38.6127102513458,446-1,4.000000,MANİSA,GÖLMARMARA,BÜYÜKBELEN,579807.000000,4274377.000000,102.444420,87.354420,2.000000,95.000000,obs. pts,./0.png
27.7663356133215,38.7495436353558,434-S,5.000000,MANİSA,SARUHANLI,KUMKUYUCAK,566640.350000,4289441.637000,67.540481,35.450481,3.760000,95.000000,obs. pts,./0.png
28.7157748786567,38.5011997738703,371-S,1.000000,MANİSA,KULA,BAŞIBÜYÜK,649663.374000,4263000.319000,573.290708,560.360708,1.980000,95.000000,obs. pts,./0.png
28.4329708639187,38.3985740126147,351-S-2,2.000000,MANİSA,ALAŞEHİR,PİYADELER,625178.732000,4251190.027000,161.834172,130.074172,2.000000,95.000000,obs. pts,./0.png
28.4339520860186,38.3982373505041,351-S-1,2.000000,MANİSA,ALAŞEHİR,PİYADELER,625265.000000,4251154.000000,163.737610,134.327610,1.280000,95.000000,obs. pts,./0.png
28.429261602716,38.4036800283179,348-2,2.000000,MANİSA,ALAŞEHİR,PİYADELER,624846.032000,4251751.607000,153.211010,129.321010,0.390000,95.000000,obs. pts,./0.png
28.464213909235,38.377734054843,345-S,2.000000,MANİSA,ALAŞEHİR,ÇEŞNİLİ,627943.804000,4248920.302000,208.882653,159.092653,1.750000,95.000000,obs. pts,./0.png
28.883993934519,38.7490378769268,29-2,1.000000,MANİSA,SELENDİ,MERKEZ,663768.458000,4290791.905000,435.566366,432.661366,0.415000,95.000000,obs. pts,./0.png
28.3258033906495,38.9822946432934,272-2,4.000000,MANİSA,GÖRDES,KUŞLUK,614883.000000,4315827.000000,643.571350,639.201350,2.000000,95.000000,obs. pts,./0.png
28.4896868296215,38.8920124170408,259-2,1.000000,MANİSA,DEMİRCİ,ÇATALOLUK,629242.251000,4306027.064000,673.776707,661.026707,0.650000,95.000000,obs. pts,./0.png
28.4910058128397,38.8926782103534,259-1-S,1.000000,MANİSA,DEMİRCİ,ÇATALOLUK,629355.439000,4306102.821000,665.257819,595.787819,6.310000,95.000000,obs. pts,./0.png
28.2976966522209,38.5196276958488,234-S,2.000000,MANİSA,SALİHLİ,AKÖREN,613176.463000,4264448.237000,135.085785,85.850785,1.605000,95.000000,obs. pts,./0.png
28.767076350583,38.1330470460657,231-2-S,2.000000,DENİZLİ,BULDAN,BEYLER,654918.663000,4222230.647000,554.165984,545.665984,0.500000,95.000000,obs. pts,./0.png
28.7755621286075,38.1323343515968,231-1-S,2.000000,DENİZLİ,BULDAN,BEYLER,655663.948000,4222165.764000,545.274721,543.174721,2.000000,95.000000,obs. pts,./0.png
28.6022330163834,38.156729206731,207-S,2.000000,MANİSA,SARIGÖL,GÜNYAKA,640425.041000,4224596.159000,440.859009,438.919009,2.000000,95.000000,obs. pts,./0.png
29.0503410570196,38.6304362063586,153-S,1.000000,UŞAK,MERKEZ,ÖRENCİK,678520.030000,4277940.106000,584.194311,578.999311,0.265000,95.000000,obs. pts,./0.png
29.3077753575923,38.9311896345958,141-S,1.000000,KÜTAHYA,GEDİZ,ABİDE,700088.401000,4311852.277000,657.669831,655.869831,0.220000,95.000000,obs. pts,./0.png
28.9510541851654,38.9080010965136,24-1,1.000000,MANİSA,SELENDİ,TEPEEYNİHAN,669219.711000,4308556.168000,960.253464,897.353464,0.550000,95.000000,obs. pts,./0.png
27.6287669989932,38.5831762753168,"2048",3.000000,MANİSA,MERKEZ,HAMZABEYLİ-AYDEMİR ÇİFTLİĞİ,554812.469000,4270889.251000,40.416518,35.691518,0.575000,95.000000,obs. pts,./0.png
26.8753743742812,38.6586843620491,"2040",7.000000,İZMİR,FOÇA,BAĞARASI,489204.519000,4279087.933000,2.615941,1.655941,0.090000,95.000000,obs. pts,./0.png
26.7515574252975,38.661496082079,"2038",7.000000,İZMİR,FOÇA,MERKEZ-GÖNÜLCAN İNŞ. DEP.,478432.430000,4279421.847000,2.597261,1.607261,0.250000,95.000000,obs. pts,./0.png
27.4734394573767,38.6691838192573,"2037",5.000000,MANİSA,MERKEZ,VEZİROĞLU,541234.361000,4280351.969000,28.588534,24.743534,0.625000,95.000000,obs. pts,./0.png
28.4116168679323,38.6116926442728,"2036",1.000000,MANİSA,SALİHLİ,EMİNBEY,622951.113000,4274811.061000,562.521044,519.236044,7.005000,95.000000,obs. pts,./0.png
28.281271807818,38.7609925761062,"2034",4.000000,MANİSA,KÖPRÜBAŞI,KURTLAR,611370.465000,4291212.708000,503.076426,485.206426,2.000000,95.000000,obs. pts,./0.png
28.3001830373783,38.7641910388255,"2033",4.000000,MANİSA,KÖPRÜBAŞI,KAVAKYERİ,613008.575000,4291590.832000,617.551040,600.661040,13.310000,95.000000,obs. pts,./0.png
28.337238522537,38.658169821316,"2031",1.000000,MANİSA,KÖPRÜBAŞI,NEBİLER,616399.873000,4279871.744000,257.715965,250.360965,0.655000,95.000000,obs. pts,./0.png
28.3236930074971,38.6457171544692,"2030",1.000000,MANİSA,SALİHLİ,SİNDEL,615241.186000,4278472.749000,331.663839,332.463839,2.000000,95.000000,obs. pts,./0.png
28.3727618806306,38.6093626525254,"2029",1.000000,MANİSA,SALİHLİ,DELİBAŞLI,619571.899000,4274501.189000,402.484729,392.959729,0.315000,95.000000,obs. pts,./0.png
28.2837467780577,38.6597269578031,"2028",1.000000,MANİSA,SALİHLİ,ORTAKÖY-SİCİMDAMI MAH.,611743.003000,4279978.027000,581.666238,563.556238,9.500000,95.000000,obs. pts,./0.png
28.3866864725957,38.6213313271342,"2025",1.000000,MANİSA,SALİHLİ,HACIKÖSELİ,620764.277000,4275847.597000,416.504543,413.869543,0.735000,95.000000,obs. pts,./0.png
28.4117543867406,38.6125871659727,"2024",1.000000,MANİSA,SALİHLİ,EMİNBEY,622961.560000,4274910.512000,560.708014,553.103014,2.195000,95.000000,obs. pts,./0.png
28.0294673999826,38.4975315317602,"2023",3.000000,MANİSA,SALİHLİ,SART-1 NOLU ISK,589819.963000,4261700.501000,99.835683,75.375683,2.230000,95.000000,obs. pts,./0.png
28.0322744994329,38.4911189743299,"2021",3.000000,MANİSA,SALİHLİ,SART-3 NOLU ISK,590072.736000,4260991.665000,115.079837,75.409837,2.510000,95.000000,obs. pts,./0.png
28.1007366940389,38.4833100830098,"2020",3.000000,MANİSA,SALİHLİ,YILMAZ,596053.866000,4260194.320000,117.977325,91.107325,2.600000,95.000000,obs. pts,./0.png
28.2999819089084,38.5050005167446,"2019",2.000000,MANİSA,SALİHLİ,MERSİNLİ,613398.628000,4262827.886000,117.248020,90.288020,2.000000,95.000000,obs. pts,./0.png
28.1019960789617,38.4831801596949,"2018",3.000000,MANİSA,SALİHLİ,YILMAZ,596163.885000,4260181.217000,116.518027,91.473027,2.725000,95.000000,obs. pts,./0.png
28.2533537151877,38.5214479863815,"2013",2.000000,MANİSA,SALİHLİ,DURASILLI,609307.906000,4264596.625000,109.780931,99.835931,1.185000,95.000000,obs. pts,./0.png
28.2534680952293,38.4704458558329,"2011",2.000000,MANİSA,SALİHLİ,DURASILLI,609394.962000,4258937.141000,121.626641,101.781641,0.945000,95.000000,obs. pts,./0.png
